,year,month,export_value,GDP_constant,import_value,inflation_percentage_change,interest_rate,manufac_prod_index,population,unemployment_rate,exchange_rate,consumer_price_index
217,2019,2,643091.0,948618.0,592813.0,0.24,0.3,103.23,66437119.0,0.78,31.31,99.32
218,2019,3,643091.0,948618.0,592813.0,0.41,0.3,103.68,66447273.0,0.9,31.73,99.73
219,2019,4,646676.0,890065.0,595934.0,0.44,0.3,105.28,66453499.0,0.96,31.86,100.17
220,2019,5,646676.0,890065.0,595934.0,0.47,0.3,103.78,66465053.0,1.11,31.8,100.64
221,2019,6,646676.0,890065.0,595934.0,-0.36,0.3,101.92,66476548.0,0.94,31.13,100.28
222,2019,7,662044.0,869502.0,588499.0,0.06,0.3,104.63,66489259.0,1.14,30.79,100.34
223,2019,8,662044.0,869502.0,588499.0,-0.19,0.3,103.71,66507282.0,1.0,30.77,100.15
224,2019,9,662044.0,869502.0,588499.0,0.09,0.3,100.0,66523642.0,1.02,30.57,100.24
225,2019,10,638587.0,932910.0,558514.0,-0.15,0.3,99.15,66538801.0,0.95,30.37,100.09
226,2019,11,638587.0,932910.0,558514.0,-0.13,0.3,98.12,66551409.0,1.12,30.24,99.96
227,2019,12,638587.0,932910.0,558514.0,0.01,0.3,98.59,66558935.0,0.96,30.22,99.97
228,2020,1,606808.0,927436.0,566317.0,0.16,0.3,100.11,66566214.0,1.07,30.44,100.13
229,2020,2,606808.0,927436.0,566317.0,-0.08,0.3,99.23,66571782.0,1.09,31.34,100.05
230,2020,3,606808.0,927436.0,566317.0,-0.86,0.3,94.09,66578309.0,1.03,32.11,99.19
231,2020,4,464130.0,780539.0,456511.0,-2.04,0.3,82.58,66586867.0,1.31,32.63,97.17
232,2020,5,464130.0,780539.0,456511.0,0.01,0.25,78.79,66586964.0,1.5899999999999999,32.04,97.18
233,2020,6,464130.0,780539.0,456511.0,1.56,0.25,83.12,66550206.0,1.8699999999999999,31.16,98.7
234,2020,7,508694.0,813715.0,468243.0,0.67,0.25,89.13,66533253.0,2.15,31.42,99.36
235,2020,8,508694.0,813715.0,468243.0,0.29,0.25,92.85,66481068.0,1.86,31.22,99.65
236,2020,9,508694.0,813715.0,468243.0,-0.11,0.25,95.58,66182969.0,1.79,31.36,99.54
237,2020,10,498456.0,893821.0,512104.0,0.05,0.25,97.29,66182634.0,2.09,31.27,99.59
238,2020,11,498456.0,893821.0,512104.0,-0.04,0.25,96.2,66187747.0,2.0,30.48,99.55
239,2020,12,498456.0,893821.0,512104.0,0.15,0.25,96.28,66186727.0,1.49,30.09,99.7
240,2021,1,498456.0,893821.0,512104.0,0.15,0.25,96.28,66186727.0,1.49,30.09,99.7
241,2021,2,498456.0,893821.0,512104.0,0.15,0.25,96.28,66186727.0,1.49,30.09,99.7
242,2021,3,498456.0,893821.0,512104.0,0.15,0.25,96.28,66186727.0,1.49,30.09,99.7
243,2021,4,498456.0,893821.0,512104.0,0.15,0.25,96.28,66186727.0,1.49,30.09,99.7
244,2021,5,498456.0,893821.0,512104.0,0.15,0.25,96.28,66186727.0,1.49,30.09,99.7
245,2021,6,498456.0,893821.0,512104.0,0.15,0.25,96.28,66186727.0,1.49,30.09,99.7
246,2021,7,498456.0,893821.0,512104.0,0.15,0.25,96.28,66186727.0,1.49,30.09,99.7
247,2021,8,498456.0,893821.0,512104.0,0.15,0.25,96.28,66186727.0,1.49,30.09,99.7
248,2021,9,498456.0,893821.0,512104.0,0.15,0.25,96.28,66186727.0,1.49,30.09,99.7
249,2021,10,498456.0,893821.0,512104.0,0.15,0.25,96.28,66186727.0,1.49,30.09,99.7
250,2021,11,498456.0,893821.0,512104.0,0.15,0.25,96.28,66186727.0,1.49,30.09,99.7
251,2021,12,498456.0,893821.0,512104.0,0.15,0.25,96.28,66186727.0,1.49,30.09,99.7
